run,cycles,instructions,cpi,sp,ra,exception_flag,label
153,933002,933248,0.99,2147501168,2147484452,1,register_fault
154,890486,890456,1.00,2147501168,2147484452,1,register_fault
155,910819,911219,0.99,2147501168,2147484452,1,register_fault
156,846684,846444,1.00,2147501168,2147484452,1,register_fault
157,859044,859316,0.99,2147501168,2147484452,1,register_fault
158,895344,895456,0.99,2147501168,2147484452,1,register_fault
159,885808,884594,1.00,2147501168,2147484452,1,register_fault
160,853666,855616,0.99,2147501168,2147484452,1,register_fault
161,838761,838623,1.00,2147501168,2147484452,1,register_fault
162,847512,849612,0.99,2147501168,2147484452,1,register_fault
163,826886,826412,1.00,2147501168,2147484452,1,register_fault
164,900369,902475,0.99,2147501168,2147484452,1,register_fault
165,814154,813760,1.00,2147501168,2147484452,1,register_fault
166,853420,853766,0.99,2147501168,2147484452,1,register_fault
167,813510,813500,1.00,2147501168,2147484452,1,register_fault
168,817414,817404,1.00,2147501168,2147484452,1,register_fault
169,880655,882805,0.99,2147501168,2147484452,1,register_fault
170,819458,818450,1.00,2147501168,2147484452,1,register_fault
171,859538,858684,1.00,2147501168,2147484452,1,register_fault
172,887367,889371,0.99,2147501168,2147484452,1,register_fault
173,837707,839489,0.99,2147501168,2147484452,1,register_fault
174,867029,868915,0.99,2147501168,2147484452,1,register_fault
175,1216476,1218260,0.99,2147501168,2147484452,1,register_fault
176,834098,833574,1.00,2147501168,2147484452,1,register_fault
177,825954,825714,1.00,2147501168,2147484452,1,register_fault
178,826382,826246,1.00,2147501168,2147484452,1,register_fault
179,889585,891221,0.99,2147501168,2147484452,1,register_fault
180,851820,851696,1.00,2147501168,2147484452,1,register_fault
181,852142,851202,1.00,2147501168,2147484452,1,register_fault
182,865915,866075,0.99,2147501168,2147484452,1,register_fault
183,826108,825966,1.00,2147501168,2147484452,1,register_fault
184,851251,851581,0.99,2147501168,2147484452,1,register_fault
185,866203,866575,0.99,2147501168,2147484452,1,register_fault
186,850100,850316,0.99,2147501168,2147484452,1,register_fault
187,827538,826982,1.00,2147501168,2147484452,1,register_fault
188,826054,825794,1.00,2147501168,2147484452,1,register_fault
189,826010,825862,1.00,2147501168,2147484452,1,register_fault
190,825962,825924,1.00,2147501168,2147484452,1,register_fault
191,849176,849390,0.99,2147501168,2147484452,1,register_fault
192,842750,842970,0.99,2147501168,2147484452,1,register_fault
193,826184,826150,1.00,2147501168,2147484452,1,register_fault
194,846052,846300,0.99,2147501168,2147484452,1,register_fault
195,826056,826072,0.99,2147501168,2147484452,1,register_fault
196,829026,829080,0.99,2147501168,2147484452,1,register_fault
197,850324,850576,0.99,2147501168,2147484452,1,register_fault
198,827934,826876,1.00,2147501168,2147484452,1,register_fault
199,826154,826016,1.00,2147501168,2147484452,1,register_fault
200,841978,843070,0.99,2147501168,2147484452,1,register_fault
201,849844,849772,1.00,2147501168,2147484452,1,register_fault
202,852255,853203,0.99,2147501168,2147484452,1,register_fault
203,834933,835231,0.99,2147501168,2147484452,1,register_fault
204,929407,929759,0.99,2147501168,2147484452,1,register_fault
205,876056,876332,0.99,2147501168,2147484452,1,register_fault
206,867386,867454,0.99,2147501168,2147484452,1,register_fault
207,842025,843815,0.99,2147501168,2147484452,1,register_fault
208,874121,874469,0.99,2147501168,2147484452,1,register_fault
209,855888,856204,0.99,2147501168,2147484452,1,register_fault
210,915820,916264,0.99,2147501168,2147484452,1,register_fault
211,897795,897907,0.99,2147501168,2147484452,1,register_fault
212,826602,825974,1.00,2147501168,2147484452,1,register_fault
213,826566,826418,1.00,2147501168,2147484452,1,register_fault
214,884629,886555,0.99,2147501168,2147484452,1,register_fault
215,875548,875616,0.99,2147501168,2147484452,1,register_fault
216,826352,826032,1.00,2147501168,2147484452,1,register_fault
217,826146,826016,1.00,2147501168,2147484452,1,register_fault
218,845940,845936,1.00,2147501168,2147484452,1,register_fault
219,855067,856239,0.99,2147501168,2147484452,1,register_fault
220,834501,834677,0.99,2147501168,2147484452,1,register_fault
221,826278,826284,0.99,2147501168,2147484452,1,register_fault
222,848441,848699,0.99,2147501168,2147484452,1,register_fault
223,845279,845381,0.99,2147501168,2147484452,1,register_fault
224,869519,869735,0.99,2147501168,2147484452,1,register_fault
225,853131,853405,0.99,2147501168,2147484452,1,register_fault
226,825872,825786,1.00,2147501168,2147484452,1,register_fault
227,825662,825608,1.00,2147501168,2147484452,1,register_fault
228,839951,842283,0.99,2147501168,2147484452,1,register_fault
229,955744,956130,0.99,2147501168,2147484452,1,register_fault
230,853144,853204,0.99,2147501168,2147484452,1,register_fault
231,855402,855620,0.99,2147501168,2147484452,1,register_fault
232,826308,826140,1.00,2147501168,2147484452,1,register_fault
233,888868,888626,1.00,2147501168,2147484452,1,register_fault
234,878842,878210,1.00,2147501168,2147484452,1,register_fault
235,1026918,1028578,0.99,2147501168,2147484452,1,register_fault
236,844992,844842,1.00,2147501168,2147484452,1,register_fault
237,826606,826498,1.00,2147501168,2147484452,1,register_fault
238,838791,838305,1.00,2147501168,2147484452,1,register_fault
239,872333,872725,0.99,2147501168,2147484452,1,register_fault
240,826486,826298,1.00,2147501168,2147484452,1,register_fault
241,825734,825774,0.99,2147501168,2147484452,1,register_fault
242,843556,843836,0.99,2147501168,2147484452,1,register_fault
243,846299,848227,0.99,2147501168,2147484452,1,register_fault
244,888781,888711,1.00,2147501168,2147484452,1,register_fault
245,864859,864921,0.99,2147501168,2147484452,1,register_fault
246,826238,826100,1.00,2147501168,2147484452,1,register_fault
247,826042,825904,1.00,2147501168,2147484452,1,register_fault
248,866575,866845,0.99,2147501168,2147484452,1,register_fault
249,832752,832874,0.99,2147501168,2147484452,1,register_fault
250,828112,827166,1.00,2147501168,2147484452,1,register_fault
251,826310,826102,1.00,2147501168,2147484452,1,register_fault
252,865093,865395,0.99,2147501168,2147484452,1,register_fault
253,836657,836945,0.99,2147501168,2147484452,1,register_fault
254,826000,825882,1.00,2147501168,2147484452,1,register_fault
255,825356,825222,1.00,2147501168,2147484452,1,register_fault
256,825530,825354,1.00,2147501168,2147484452,1,register_fault
257,827282,826444,1.00,2147501168,2147484452,1,register_fault
258,827182,826200,1.00,2147501168,2147484452,1,register_fault
259,870020,870082,0.99,2147501168,2147484452,1,register_fault
260,842730,842776,0.99,2147501168,2147484452,1,register_fault
261,852878,854686,0.99,2147501168,2147484452,1,register_fault
262,826510,826134,1.00,2147501168,2147484452,1,register_fault
263,826148,825908,1.00,2147501168,2147484452,1,register_fault
264,825946,825770,1.00,2147501168,2147484452,1,register_fault
265,830752,830698,1.00,2147501168,2147484452,1,register_fault
266,826418,826162,1.00,2147501168,2147484452,1,register_fault
267,825846,825760,1.00,2147501168,2147484452,1,register_fault
268,825914,825642,1.00,2147501168,2147484452,1,register_fault
269,828620,828476,1.00,2147501168,2147484452,1,register_fault
270,825412,825484,0.99,2147501168,2147484452,1,register_fault
271,825748,825652,1.00,2147501168,2147484452,1,register_fault
272,833944,833822,1.00,2147501168,2147484452,1,register_fault
273,1091336,1093408,0.99,2147501168,2147484452,1,register_fault
274,844835,846263,0.99,2147501168,2147484452,1,register_fault
275,866531,868527,0.99,2147501168,2147484452,1,register_fault
276,921128,920838,1.00,2147501168,2147484452,1,register_fault
277,879737,880105,0.99,2147501168,2147484452,1,register_fault
278,836444,836534,0.99,2147501168,2147484452,1,register_fault
279,866517,867029,0.99,2147501168,2147484452,1,register_fault
280,877945,879667,0.99,2147501168,2147484452,1,register_fault
281,826848,826520,1.00,2147501168,2147484452,1,register_fault
282,826472,826390,1.00,2147501168,2147484452,1,register_fault
283,826192,826054,1.00,2147501168,2147484452,1,register_fault
284,843440,843514,0.99,2147501168,2147484452,1,register_fault
285,825866,825726,1.00,2147501168,2147484452,1,register_fault
286,829048,829020,1.00,2147501168,2147484452,1,register_fault
287,825988,826016,0.99,2147501168,2147484452,1,register_fault
288,826560,826356,1.00,2147501168,2147484452,1,register_fault
289,832317,832717,0.99,2147501168,2147484452,1,register_fault
290,853873,854085,0.99,2147501168,2147484452,1,register_fault
291,872729,873113,0.99,2147501168,2147484452,1,register_fault
292,825862,825748,1.00,2147501168,2147484452,1,register_fault
293,848053,849167,0.99,2147501168,2147484452,1,register_fault
294,912226,912020,1.00,2147501168,2147484452,1,register_fault
295,845739,845939,0.99,2147501168,2147484452,1,register_fault
296,861038,861160,0.99,2147501168,2147484452,1,register_fault
297,835717,836097,0.99,2147501168,2147484452,1,register_fault
298,826252,826152,1.00,2147501168,2147484452,1,register_fault
299,843716,844018,0.99,2147501168,2147484452,1,register_fault
300,850392,850526,0.99,2147501168,2147484452,1,register_fault
301,835641,836255,0.99,2147501168,2147484452,1,register_fault
302,875775,877795,0.99,2147501168,2147484452,1,register_fault
303,826466,826066,1.00,2147501168,2147484452,1,register_fault
304,826000,825892,1.00,2147501168,2147484452,1,register_fault
305,825984,825778,1.00,2147501168,2147484452,1,register_fault
306,827496,826564,1.00,2147501168,2147484452,1,register_fault
307,826476,826254,1.00,2147501168,2147484452,1,register_fault
308,825962,825874,1.00,2147501168,2147484452,1,register_fault
309,844250,844398,0.99,2147501168,2147484452,1,register_fault
310,825534,825414,1.00,2147501168,2147484452,1,register_fault
311,826002,826026,0.99,2147501168,2147484452,1,register_fault
312,825814,825718,1.00,2147501168,2147484452,1,register_fault
313,826324,826196,1.00,2147501168,2147484452,1,register_fault
314,827118,826718,1.00,2147501168,2147484452,1,register_fault
315,859914,860086,0.99,2147501168,2147484452,1,register_fault
316,843011,844735,0.99,2147501168,2147484452,1,register_fault
317,898581,898871,0.99,2147501168,2147484452,1,register_fault
318,836165,835805,1.00,2147501168,2147484452,1,register_fault
319,825814,825564,1.00,2147501168,2147484452,1,register_fault
320,825664,825574,1.00,2147501168,2147484452,1,register_fault
321,846869,847243,0.99,2147501168,2147484452,1,register_fault
322,826162,826086,1.00,2147501168,2147484452,1,register_fault
323,825892,825810,1.00,2147501168,2147484452,1,register_fault
324,825866,825898,0.99,2147501168,2147484452,1,register_fault
325,848915,849301,0.99,2147501168,2147484452,1,register_fault
326,845269,845635,0.99,2147501168,2147484452,1,register_fault
327,913781,914157,0.99,2147501168,2147484452,1,register_fault
328,825998,825942,1.00,2147501168,2147484452,1,register_fault
329,826230,826224,1.00,2147501168,2147484452,1,register_fault
330,873525,873907,0.99,2147501168,2147484452,1,register_fault
331,866085,866457,0.99,2147501168,2147484452,1,register_fault
332,841788,841936,0.99,2147501168,2147484452,1,register_fault
333,825874,825940,0.99,2147501168,2147484452,1,register_fault
334,836631,837949,0.99,2147501168,2147484452,1,register_fault
335,826528,825850,1.00,2147501168,2147484452,1,register_fault
336,848957,849209,0.99,2147501168,2147484452,1,register_fault
337,841257,841641,0.99,2147501168,2147484452,1,register_fault
338,845898,847988,0.99,2147501168,2147484452,1,register_fault
339,854487,854473,1.00,2147501168,2147484452,1,register_fault
340,826188,826156,1.00,2147501168,2147484452,1,register_fault
341,861334,861226,1.00,2147501168,2147484452,1,register_fault
342,825890,825798,1.00,2147501168,2147484452,1,register_fault
343,826046,825958,1.00,2147501168,2147484452,1,register_fault
344,828978,828926,1.00,2147501168,2147484452,1,register_fault
345,825480,825380,1.00,2147501168,2147484452,1,register_fault
346,825976,825940,1.00,2147501168,2147484452,1,register_fault
347,825398,825270,1.00,2147501168,2147484452,1,register_fault
348,829342,829330,1.00,2147501168,2147484452,1,register_fault
349,827768,827026,1.00,2147501168,2147484452,1,register_fault
350,826244,826016,1.00,2147501168,2147484452,1,register_fault
351,825888,825744,1.00,2147501168,2147484452,1,register_fault
352,830090,830062,1.00,2147501168,2147484452,1,register_fault
353,870380,872248,0.99,2147501168,2147484452,1,register_fault
354,826736,826406,1.00,2147501168,2147484452,1,register_fault
355,859446,859604,0.99,2147501168,2147484452,1,register_fault
356,870813,870521,1.00,2147501168,2147484452,1,register_fault
357,829852,829634,1.00,2147501168,2147484452,1,register_fault
358,880869,880879,0.99,2147501168,2147484452,1,register_fault
