run,cycles,instructions,cpi,sp,ra,exception_flag,label
353,824786,824648,1.00,2147501408,2147484704,1,memory_fault
354,825040,824976,1.00,2147501408,2147484704,1,memory_fault
355,826754,826810,0.99,2147501408,2147484704,1,memory_fault
356,824554,824524,1.00,2147501408,2147484704,1,memory_fault
357,893504,893912,0.99,2147501408,2147484704,1,memory_fault
358,835444,835700,0.99,2147501408,2147484704,1,memory_fault
359,828008,828094,0.99,2147501408,2147484704,1,memory_fault
360,824298,824180,1.00,2147501408,2147484704,1,memory_fault
361,824798,824768,1.00,2147501408,2147484704,1,memory_fault
362,824320,824184,1.00,2147501408,2147484704,1,memory_fault
363,827206,827366,0.99,2147501408,2147484704,1,memory_fault
364,824584,824560,1.00,2147501408,2147484704,1,memory_fault
365,824410,824340,1.00,2147501408,2147484704,1,memory_fault
366,824768,824798,0.99,2147501408,2147484704,1,memory_fault
367,826710,826642,1.00,2147501408,2147484704,1,memory_fault
368,824546,824524,1.00,2147501408,2147484704,1,memory_fault
369,824428,824548,0.99,2147501408,2147484704,1,memory_fault
370,824930,824940,0.99,2147501408,2147484704,1,memory_fault
371,826414,826408,1.00,2147501408,2147484704,1,memory_fault
372,824514,824392,1.00,2147501408,2147484704,1,memory_fault
373,824332,824180,1.00,2147501408,2147484704,1,memory_fault
374,823768,823744,1.00,2147501408,2147484704,1,memory_fault
375,826148,826148,1.00,2147501408,2147484704,1,memory_fault
376,824480,824352,1.00,2147501408,2147484704,1,memory_fault
377,824298,824130,1.00,2147501408,2147484704,1,memory_fault
378,824464,824482,0.99,2147501408,2147484704,1,memory_fault
379,827720,827718,1.00,2147501408,2147484704,1,memory_fault
380,824216,824168,1.00,2147501408,2147484704,1,memory_fault
381,824234,824198,1.00,2147501408,2147484704,1,memory_fault
382,824678,824624,1.00,2147501408,2147484704,1,memory_fault
383,826986,826904,1.00,2147501408,2147484704,1,memory_fault
384,824910,824860,1.00,2147501408,2147484704,1,memory_fault
385,824568,824570,0.99,2147501408,2147484704,1,memory_fault
386,824612,824590,1.00,2147501408,2147484704,1,memory_fault
387,827376,827284,1.00,2147501408,2147484704,1,memory_fault
388,824414,824272,1.00,2147501408,2147484704,1,memory_fault
389,825014,824956,1.00,2147501408,2147484704,1,memory_fault
390,824944,824922,1.00,2147501408,2147484704,1,memory_fault
391,824304,824248,1.00,2147501408,2147484704,1,memory_fault
