cycles,instructions,cpi,sp,ra,exception_flag,label,label_enc
-0.586484667,-0.586595683,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586777624,-0.58688532,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586724061,-0.586839415,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586603818,-0.586750885,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585129195,-0.58522401,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586812604,-0.586924666,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585235228,-0.5855519,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586528392,-0.586703887,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586626773,-0.586743234,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586606004,-0.586685307,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586473736,-0.586620822,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586375355,-0.586492944,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.583004164,-0.583085074,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586373169,-0.586488573,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.578997869,-0.579043282,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584690853,-0.584750755,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586843212,-0.587007732,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585051583,-0.585130015,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.587066209,-0.587157468,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58683228,-0.586945433,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586642077,-0.586753071,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586900054,-0.586983687,0.946702164,1.623924506,1.656974879,1,memory_fault,0
0.021197658,0.022185765,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.582254282,-0.582577937,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585077818,-0.585177012,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58636661,-0.586413158,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586656288,-0.586651425,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.584807817,-0.584841471,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.572317794,-0.571654826,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.514841392,-0.5143932,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.585774137,-0.586029526,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586318513,-0.58641753,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58648904,-0.586578196,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585709643,-0.585998923,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586445315,-0.586580382,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.581157879,-0.581279492,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586338189,-0.586396763,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584985996,-0.585063344,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586548068,-0.586638309,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.583746394,-0.58382064,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58661147,-0.586706073,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.5863841,-0.586492944,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586693454,-0.586783674,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58662568,-0.586721374,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58527458,-0.585322377,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586613656,-0.586706073,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.583833844,-0.583893869,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586577583,-0.586651425,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58515543,-0.585232754,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586492319,-0.586567266,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586654101,-0.586714817,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586633332,-0.586699515,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586481388,-0.586579289,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586560093,-0.586648146,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586812604,-0.586956362,0.946702164,1.623924506,1.656974879,1,memory_fault,0
